Number,Place,Gender,Age,AgeCategory,Province,Swim,T1,Cycle,T2,Run,Finish
1,11,M,19,"[16, 20)",Munster,518,64,2293,42,1446,4363
2,129,M,25,"[20, 30)",Leinster,1102,124,2662,47,1723,5658
3,35,M,25,"[20, 30)",Leinster,693,138,2472,42,1466,4811
4,153,M,26,"[20, 30)",Munster,906,318,3002,62,1648,5936
5,34,M,21,"[20, 30)",Connacht,566,131,2518,65,1522,4802
6,131,M,25,"[20, 30)",Connacht,940,202,3083,63,1381,5669
7,169,M,23,"[20, 30)",Leinster,1118,366,3114,127,1674,6399
8,95,M,22,"[20, 30)",Leinster,1002,102,2449,59,1756,5368
9,97,M,29,"[20, 30)",Ulster,735,213,2701,66,1655,5370
10,150,M,29,"[20, 30)",Leinster,930,196,2976,66,1700,5868
11,49,M,26,"[20, 30)",Leinster,827,222,2524,62,1369,5004
12,44,M,27,"[20, 30)",Leinster,765,198,2428,96,1436,4923
13,72,M,26,"[20, 30)",Leinster,729,175,2584,108,1570,5166
14,39,M,21,"[20, 30)",Munster,731,140,2459,77,1457,4864
15,103,M,23,"[20, 30)",Leinster,881,182,2756,91,1491,5401
16,154,M,22,"[20, 30)",Leinster,897,348,2930,172,1599,5946
17,145,M,27,"[20, 30)",Munster,760,484,2946,151,1485,5826
18,91,M,22,"[20, 30)",Ulster,820,142,2643,45,1634,5284
19,48,M,22,"[20, 30)",Ulster,787,156,2629,56,1375,5003
21,174,M,26,"[20, 30)",Ulster,891,305,3380,117,1810,6503
22,109,M,33,"[30, 40)",Ulster,924,217,2793,85,1431,5450
23,156,M,30,"[30, 40)",Leinster,1076,221,2802,117,1787,6003
24,100,M,34,"[30, 40)",Leinster,831,149,2786,56,1565,5387
25,101,M,38,"[30, 40)",Munster,997,224,2523,61,1585,5390
26,132,M,39,"[30, 40)",Munster,1012,210,2785,70,1603,5680
28,13,M,31,"[30, 40)",Munster,597,97,2451,69,1194,4408
29,55,M,34,"[30, 40)",Leinster,773,187,2488,123,1470,5041
30,21,M,38,"[30, 40)",Leinster,860,166,2286,77,1146,4535
31,99,M,35,"[30, 40)",Leinster,832,236,2649,104,1563,5384
32,157,M,35,"[30, 40)",Munster,985,314,2840,77,1788,6004
33,90,M,31,"[30, 40)",Ulster,847,209,2514,112,1584,5266
34,40,M,31,"[30, 40)",Ulster,846,146,2375,80,1418,4865
35,32,M,32,"[30, 40)",Ulster,873,122,2279,55,1437,4766
36,63,M,37,"[30, 40)",Leinster,806,184,2388,100,1637,5115
37,121,M,35,"[30, 40)",Munster,867,167,2732,52,1719,5537
38,123,M,37,"[30, 40)",Leinster,1068,178,2636,83,1588,5553
39,56,M,34,"[30, 40)",Leinster,694,112,2542,88,1611,5047
40,70,M,39,"[30, 40)",Munster,887,175,2499,79,1512,5152
41,61,M,39,"[30, 40)",Leinster,1015,211,2477,44,1329,5076
42,59,M,31,"[30, 40)",Leinster,922,172,2515,74,1391,5074
43,37,M,37,"[30, 40)",Leinster,712,125,2473,74,1466,4850
44,89,M,35,"[30, 40)",Munster,721,163,2784,56,1538,5262
45,26,M,38,"[30, 40)",Leinster,792,134,2444,79,1213,4662
46,28,M,31,"[30, 40)",Leinster,713,132,2449,80,1323,4697
47,67,M,33,"[30, 40)",Munster,869,158,2564,71,1473,5135
48,2,M,32,"[30, 40)",Munster,616,87,2016,58,1225,4002
49,30,M,31,"[30, 40)",Ulster,789,123,2385,57,1381,4735
50,23,M,34,"[30, 40)",Ulster,822,105,2365,81,1223,4596
51,46,M,34,"[30, 40)",Munster,635,211,2538,81,1479,4944
52,149,M,36,"[30, 40)",Connacht,1044,217,2890,191,1523,5865
53,62,M,39,"[30, 40)",Leinster,774,168,2728,57,1367,5094
54,3,M,35,"[30, 40)",Ulster,621,85,1982,53,1282,4023
55,22,M,36,"[30, 40)",Leinster,826,119,2213,70,1363,4591
56,165,F,21,"[20, 30)",Munster,853,194,3025,124,2046,6242
57,52,M,37,"[30, 40)",Leinster,816,173,2456,52,1511,5008
58,175,M,38,"[30, 40)",Munster,909,257,3103,80,2172,6521
59,18,M,30,"[30, 40)",Ulster,663,99,2239,56,1430,4487
60,138,M,36,"[30, 40)",Munster,926,234,2825,87,1687,5759
61,73,M,33,"[30, 40)",Leinster,790,145,2331,106,1804,5176
62,130,M,37,"[30, 40)",Leinster,973,211,2625,59,1799,5667
63,6,M,34,"[30, 40)",Munster,688,107,2197,60,1224,4276
64,135,M,30,"[30, 40)",Connacht,916,303,2747,87,1649,5702
65,19,M,31,"[30, 40)",Leinster,725,98,2246,54,1404,4527
66,80,M,39,"[30, 40)",Connacht,778,236,2598,114,1490,5216
67,12,M,35,"[30, 40)",Leinster,658,104,2396,60,1152,4370
68,17,M,32,"[30, 40)",Munster,840,99,2199,61,1285,4484
69,41,F,25,"[20, 30)",Leinster,565,101,2779,66,1357,4868
70,29,M,37,"[30, 40)",Connacht,769,121,2445,81,1315,4731
71,133,M,32,"[30, 40)",Leinster,995,195,2556,95,1854,5695
72,15,M,39,"[30, 40)",Leinster,688,90,2310,55,1299,4442
73,66,M,35,"[30, 40)",Connacht,812,161,2632,103,1416,5124
74,134,F,59,"[50, 65)",Leinster,837,129,2887,83,1762,5698
75,27,M,41,"[40, 50)",Connacht,784,108,2284,79,1433,4688
76,171,M,46,"[40, 50)",Leinster,970,282,3019,119,2034,6424
77,47,M,46,"[40, 50)",Munster,944,175,2497,72,1313,5001
78,117,M,47,"[40, 50)",Ulster,846,162,2683,62,1752,5505
79,172,M,44,"[40, 50)",Munster,1225,186,2900,92,2034,6437
80,104,M,40,"[40, 50)",Connacht,834,152,2905,61,1454,5406
81,92,M,46,"[40, 50)",Leinster,770,151,2624,91,1653,5289
82,45,M,44,"[40, 50)",Leinster,841,149,2338,67,1529,4924
83,75,M,47,"[40, 50)",Munster,1116,113,2499,96,1355,5179
84,84,M,44,"[40, 50)",Connacht,854,145,2567,93,1577,5236
85,96,M,43,"[40, 50)",Leinster,799,113,2631,74,1752,5369
86,31,M,46,"[40, 50)",Leinster,813,215,2322,113,1286,4749
87,160,M,48,"[40, 50)",Leinster,1334,197,2790,113,1674,6108
88,8,M,48,"[40, 50)",Munster,877,81,2114,59,1192,4323
89,9,M,45,"[40, 50)",Munster,700,103,2230,45,1248,4326
90,105,M,41,"[40, 50)",Leinster,825,226,2486,121,1757,5415
91,102,M,40,"[40, 50)",Ulster,1321,126,2454,81,1411,5393
92,4,M,49,"[40, 50)",Leinster,621,89,2005,53,1474,4242
93,173,M,45,"[40, 50)",Ulster,1061,177,2691,120,2391,6440
94,108,M,40,"[40, 50)",Ulster,806,220,2589,125,1705,5445
95,137,M,48,"[40, 50)",Munster,858,136,2579,82,2092,5747
96,116,M,45,"[40, 50)",Leinster,682,157,2436,117,2097,5489
97,147,M,48,"[40, 50)",Munster,965,266,2833,102,1675,5841
98,57,M,40,"[40, 50)",Connacht,756,159,2566,85,1497,5063
99,136,M,43,"[40, 50)",Leinster,846,200,2847,115,1736,5744
100,33,M,43,"[40, 50)",Connacht,836,161,2365,89,1335,4786
101,179,M,43,"[40, 50)",Ulster,1270,208,3143,122,2067,6810
102,43,M,42,"[40, 50)",Leinster,729,148,2407,78,1560,4922
103,114,M,43,"[40, 50)",Leinster,970,138,2533,89,1732,5462
104,119,M,41,"[40, 50)",Ulster,752,185,2686,74,1839,5536
105,155,F,40,"[40, 50)",Connacht,1092,175,2836,97,1767,5967
106,107,M,44,"[40, 50)",Leinster,820,184,2464,104,1871,5443
107,142,M,40,"[40, 50)",Ulster,709,155,2544,137,2264,5809
108,64,M,49,"[40, 50)",Leinster,844,186,2436,116,1538,5120
109,87,M,49,"[40, 50)",Munster,817,143,2547,77,1663,5247
110,7,M,41,"[40, 50)",Leinster,601,89,2188,49,1374,4301
111,98,M,48,"[40, 50)",Munster,1019,139,2535,84,1599,5376
112,50,M,46,"[40, 50)",Connacht,1044,162,2344,81,1375,5006
113,24,M,42,"[40, 50)",Munster,727,117,2276,75,1441,4636
114,82,M,47,"[40, 50)",Munster,686,230,2510,189,1602,5217
115,51,M,40,"[40, 50)",Munster,835,151,2438,80,1502,5006
116,139,M,64,"[50, 65)",Ulster,1025,200,2846,139,1552,5762
117,53,M,54,"[50, 65)",Ulster,675,136,2545,78,1578,5012
118,5,M,52,"[50, 65)",Munster,621,104,2169,51,1322,4267
119,183,M,56,"[50, 65)",Connacht,1040,234,3387,119,2212,6992
120,36,M,63,"[50, 65)",Munster,876,113,2378,74,1397,4838
121,113,M,53,"[50, 65)",Connacht,777,241,2507,168,1761,5454
122,124,M,60,"[50, 65)",Ulster,814,278,2697,126,1675,5590
123,69,M,58,"[50, 65)",Munster,894,178,2433,70,1574,5149
124,141,M,64,"[50, 65)",Connacht,886,238,2728,76,1879,5807
125,118,M,58,"[50, 65)",Munster,972,183,2630,94,1645,5524
126,79,M,51,"[50, 65)",Leinster,963,178,2504,50,1518,5213
128,177,M,51,"[50, 65)",Munster,984,299,2864,123,2287,6557
129,112,M,56,"[50, 65)",Munster,871,142,2567,113,1762,5455
130,58,M,58,"[50, 65)",Munster,671,114,2559,88,1638,5070
131,94,M,51,"[50, 65)",Munster,859,121,2467,78,1824,5349
132,162,M,55,"[50, 65)",Ulster,776,284,2839,189,2120,6208
133,148,M,28,"[20, 30)",Leinster,976,183,3636,82,978,5855
134,14,M,37,"[30, 40)",Leinster,702,188,2321,68,1154,4433
135,38,M,30,"[30, 40)",Leinster,756,134,2469,102,1401,4862
136,111,M,30,"[30, 40)",Leinster,758,181,2559,95,1860,5453
137,71,F,25,"[20, 30)",Munster,690,104,2788,41,1539,5162
138,168,F,26,"[20, 30)",Munster,953,164,3202,125,1903,6347
139,128,F,21,"[20, 30)",Ulster,815,163,2901,62,1713,5654
140,20,F,20,"[20, 30)",Leinster,728,92,2372,51,1292,4535
141,170,F,24,"[20, 30)",Leinster,845,266,2551,127,2620,6409
142,163,F,20,"[20, 30)",Leinster,1031,267,3049,117,1762,6226
143,159,F,24,"[20, 30)",Ulster,958,169,3102,102,1728,6059
144,77,F,21,"[20, 30)",Munster,694,147,2577,88,1680,5186
145,176,F,38,"[30, 40)",Munster,983,300,2864,123,2286,6556
146,60,F,39,"[30, 40)",Munster,659,135,2602,70,1609,5075
147,76,F,37,"[30, 40)",Munster,759,162,2781,56,1425,5183
148,88,F,34,"[30, 40)",Leinster,666,138,2782,67,1608,5261
149,144,F,34,"[30, 40)",Leinster,816,142,2988,84,1781,5811
150,167,F,32,"[30, 40)",Munster,1156,255,2893,136,1883,6323
151,86,F,33,"[30, 40)",Ulster,729,129,2677,51,1658,5244
152,146,F,36,"[30, 40)",Munster,887,166,2798,113,1863,5827
153,10,F,35,"[30, 40)",Munster,666,80,2342,54,1207,4349
154,81,F,34,"[30, 40)",Munster,856,131,2513,83,1633,5216
155,151,F,36,"[30, 40)",Connacht,1015,229,2891,101,1643,5879
156,93,F,30,"[30, 40)",Leinster,837,115,2580,87,1711,5330
157,181,F,34,"[30, 40)",Leinster,1243,156,2937,119,2412,6867
159,152,F,38,"[30, 40)",Leinster,825,168,2955,92,1871,5911
160,106,F,34,"[30, 40)",Leinster,770,158,2667,96,1739,5430
161,158,F,36,"[30, 40)",Leinster,947,122,2734,105,2131,6039
162,166,F,49,"[40, 50)",Leinster,835,218,3120,128,1945,6246
163,161,F,45,"[40, 50)",Connacht,957,234,3181,92,1716,6180
164,65,F,41,"[40, 50)",Ulster,939,176,2336,68,1602,5121
165,110,F,43,"[40, 50)",Ulster,979,131,2416,27,1900,5453
166,164,F,47,"[40, 50)",Munster,1064,140,3028,121,1881,6234
167,182,F,49,"[40, 50)",Connacht,1283,189,3394,118,2001,6985
168,16,F,40,"[40, 50)",Ulster,624,76,2378,48,1356,4482
169,125,F,45,"[40, 50)",Leinster,765,152,2746,83,1868,5614
171,83,M,41,"[40, 50)",Leinster,727,188,2511,189,1604,5219
172,54,F,46,"[40, 50)",Leinster,812,167,2304,66,1666,5015
173,85,F,46,"[40, 50)",Leinster,912,151,2458,89,1626,5236
174,78,F,45,"[40, 50)",Connacht,1019,143,2492,113,1423,5190
175,127,F,62,"[50, 65)",Munster,832,143,2756,93,1825,5649
177,115,F,59,"[50, 65)",Munster,828,220,2661,83,1696,5488
178,184,F,64,"[50, 65)",Munster,1217,567,3443,118,2543,7888
179,74,F,36,"[30, 40)",Munster,861,160,2649,58,1449,5177
180,140,F,37,"[30, 40)",Connacht,822,166,2821,80,1882,5771
181,126,F,21,"[20, 30)",Leinster,769,162,2635,94,1983,5643
182,25,M,36,"[30, 40)",Leinster,648,120,2498,63,1328,4657
183,1,M,36,"[30, 40)",Ulster,577,73,1867,47,1195,3759
184,143,F,35,"[30, 40)",Leinster,778,186,2932,96,1818,5810
185,178,M,35,"[30, 40)",Munster,1804,247,2720,99,1735,6605
186,42,M,31,"[30, 40)",Leinster,645,157,2540,75,1476,4893
187,68,F,47,"[40, 50)",Leinster,864,164,2632,61,1417,5138
188,120,F,28,"[20, 30)",Leinster,915,126,2792,67,1636,5536